date_time,record_id,% WEIGHTED ILI,ILI %,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
9/29/1997,US,1.10148,1.21686,179,,157,205,,29,570,192,46842
10/6/1997,US,1.20007,1.28064,199,,151,242,,23,615,191,48023
10/13/1997,US,1.37876,1.23906,228,,153,266,,34,681,219,54961
10/20/1997,US,1.1992,1.14473,188,,193,236,,36,653,213,57044
10/27/1997,US,1.65618,1.26112,217,,162,280,,41,700,213,55506
11/3/1997,US,1.41326,1.28275,178,,148,281,,48,655,195,51062
11/10/1997,US,1.9868,1.44579,294,,240,328,,70,932,248,64463
11/17/1997,US,2.44749,1.64796,288,,293,456,,63,1100,256,66749
11/24/1997,US,1.73901,1.67517,268,,206,343,,69,886,252,52890
12/1/1997,US,1.93919,1.61739,299,,282,415,,102,1098,253,67887
12/8/1997,US,2.28166,1.76632,346,,268,388,,81,1083,242,61314
12/15/1997,US,2.50761,2.10398,348,,235,362,,59,1004,190,47719
12/22/1997,US,4.11352,3.13655,510,,404,492,,113,1519,251,48429
12/29/1997,US,5.62372,3.7185,579,,584,576,,207,1946,250,52333
12/29/1997,US,4.37398,3.59225,639,,759,810,,207,2415,254,67228
1/5/1998,US,4.19434,3.68922,690,,654,1121,,148,2613,255,70828
1/12/1998,US,5.42123,4.60396,856,,679,1440,,151,3126,245,67898
1/19/1998,US,5.66137,4.91007,824,,817,1600,,196,3437,245,69999
1/26/1998,US,5.97802,4.82687,881,,769,1471,,233,3354,239,69486
2/2/1998,US,4.7358,3.9459,699,,671,1101,,146,2617,234,66322
2/9/1998,US,3.44581,3.1081,457,,523,849,,119,1948,223,62675
2/16/1998,US,2.47799,2.13953,313,,330,534,,112,1289,217,60247
2/23/1998,US,1.65732,1.43954,241,,214,308,,64,827,211,57449
3/2/1998,US,1.96952,1.47879,201,,183,305,,59,748,208,50582
3/9/1998,US,1.58545,1.08556,162,,123,249,,51,585,200,53889
3/16/1998,US,1.80474,0.997967,156,,93,196,,41,486,177,48699
3/23/1998,US,1.04624,0.744205,90,,92,144,,32,358,182,48105
3/30/1998,US,1.4004,0.856631,82,,93,152,,41,368,170,42959
4/6/1998,US,0.79687,0.621737,64,,73,106,,19,262,156,42140
4/13/1998,US,0.717097,0.670954,82,,68,100,,15,265,155,39496
4/20/1998,US,1.00238,0.694082,58,,61,120,,27,266,148,38324
4/27/1998,US,0.908403,0.583457,39,,64,93,,13,209,136,35821
